hour,dif_tide_height,current_dir,wave_height,current_speed,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.75,0.085106383,0.303287037,0.098533724,0.073735481,0.339622642,0,1,5,0.044987147,0.183967841,0.010508146,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.012200884
0.791666667,0.076595745,0.602222222,0.083870968,0.196777819,0.141509434,0,1,16,0.083547558,0.183967841,0.02013832,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.022658785
0.833333333,0.131914894,0.56537037,0.064516129,0.426152117,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.875,0.059574468,0.567878788,0.070861104,0.555148336,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.916666667,0.038297872,0.542986111,0.09032258,0.493068565,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.958333333,0.046808511,0.539328704,0.076832845,0.475009367,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
1,0.10212766,0.485763889,0.068035191,0.294492319,0,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.041666667,0.093617021,0.279015151,0.069581445,0.165707279,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.083333333,0.110638298,0.106041667,0.079178886,0.389059573,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.125,0.076595745,0.061944444,0.079178886,0.524990633,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.166666667,0.034042553,0.049652778,0.074486803,0.547845635,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.208333333,0.059574468,0.025856481,0.075659824,0.40591982,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.25,0.063829787,0.176388889,0.072140762,0.276957662,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.291666667,0.10212766,0.920532408,0.069208211,0.101985762,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.333333333,0.110638298,0.682430556,0.076832845,0.131884601,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.375,0.076595745,0.602199074,0.081524926,0.30093668,0.273584906,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.416666667,0.05106383,0.571365741,0.068621701,0.508055451,0.273584906,0,1,6,0.196658098,0.183967841,0.05230174,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.053335294
0.458333333,0.042553191,0.546689815,0.075659824,0.515324091,0.424528302,0,1,6,0.196658098,0.183967841,0.05230174,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.053335294
0.5,0.085106383,0.545717593,0.065102639,0.434095167,0.405660377,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.541666667,0.093617021,0.503680556,0.076246334,0.258149119,0.188679245,0,1,2,0.080976864,0.183967841,0.019477214,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.021961592
