hour,dif_tide_height,current_dir,water_temp,current_speed,wind_speed,wind_dir,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.291666667,0.10212766,0.920532408,0.243904685,0.101985762,0.103773585,0.389166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.333333333,0.110638298,0.682430556,0.246114467,0.131884601,0.245283019,0.482222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.375,0.076595745,0.602199074,0.240534767,0.30093668,0.273584906,0.472777778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.416666667,0.05106383,0.571365741,0.239264143,0.508055451,0.273584906,0.510555556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.458333333,0.042553191,0.546689815,0.22915439,0.515324091,0.424528302,0.566111111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.5,0.085106383,0.545717593,0.212304803,0.434095167,0.405660377,0.619722222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.541666667,0.093617021,0.503680556,0.225066294,0.258149119,0.188679245,0.656388889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.583333333,0.106382979,0.247916667,0.218492192,0.168227801,0.622641509,0.594166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.625,0.09787234,0.113863636,0.244080463,0.371954085,0.481132075,0.618333333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.666666667,0.042553191,0.079421296,0.284122716,0.438441364,0.264150943,0.585833333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.708333333,0.055319149,0.093694444,0.296994697,0.388115399,0.160377358,0.660833333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.75,0.09787234,0.090069444,0.268930466,0.195578868,0.264150943,0.939444444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.791666667,0.119148936,0.452199074,0.257550088,0.043162233,0.273584906,0.012222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.833333333,0.131914894,0.592569444,0.269814378,0.241888348,0.198113208,0.081944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.875,0.106382979,0.574837963,0.277493371,0.459123267,0.29245283,0.015277778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.916666667,0.085106383,0.560833333,0.262024897,0.489171974,0.20754717,0.001666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.958333333,0.068085106,0.543449074,0.243186505,0.465118022,0.056603774,0.997222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
1,0.085106383,0.528194444,0.225287272,0.399250656,0.08490566,0.0775,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.041666667,0.10212766,0.405162037,0.225673984,0.237242413,0.037735849,0,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
