hour,wave_height,current_speed,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.625,0.107917888,0.261146497,0.317359249,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.666666667,0.123753665,0.345822405,0.20163092,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.708333333,0.194988004,0.298463844,0.178284182,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.75,0.253372434,0.210415886,0.192135836,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.791666667,0.256891496,0.063094792,0.30730563,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.833333333,0.188589709,0.095977383,0.4480563,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.875,0.160117302,0.371824653,0.600871314,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.171847508,0.517796928,0.702971403,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.226392962,0.530760584,0.799932976,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.217008797,0.489696515,0.802837355,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.168328446,0.352416635,0.734331737,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.182404692,0.153915324,0.580875782,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.164222874,0.313825403,0.423145666,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.231085044,0.474934432,0.260947274,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.309677419,0.512851255,0.163985702,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.295014663,0.417684526,0.157059875,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.271554252,0.297564631,0.219615728,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.258064516,0.133083552,0.332774799,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.237536657,0.084750843,0.476094727,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.218768328,0.322892469,0.585455764,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.458333333,0.252199413,0.496065942,0.673274413,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.5,0.255131965,0.449756463,0.731233244,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.541666667,0.247507332,0.487148745,0.676720286,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.583333333,0.251026393,0.376920195,0.58489723,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.625,0.287763263,0.188187609,0.445487042,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.666666667,0.314369502,0.295841139,0.313896336,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.708333333,0.317888563,0.406144623,0.210902592,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.75,0.346627566,0.351892094,0.196492404,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.791666667,0.346627566,0.177219933,0.238047364,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.833333333,0.301839509,0.047910351,0.350201072,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
