hour,dif_tide_height,water_temp,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.75,0.038297872,0.291359753,0.206322609,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.791666667,0.025531915,0.289426193,0.192470956,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.833333333,0.038297872,0.282023424,0.250446828,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.875,0.068085106,0.277659104,0.348190349,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.916666667,0.072340426,0.283128315,0.464477212,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.958333333,0.072340426,0.287492634,0.563784629,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
1,0.034042553,0.27456541,0.64399017,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.041666667,0.029787234,0.26412419,0.668626115,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.038297872,0.249594873,0.64399017,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.05106383,0.231806129,0.562454302,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
