hour,wave_height,water_temp,tide_variation,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.625,0.107917888,0.221088686,0.376681614,0.317359249,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.666666667,0.123753665,0.226281673,0.517189836,0.20163092,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.708333333,0.194988004,0.24414073,0.215994021,0.178284182,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.75,0.253372434,0.246777401,0.208520179,0.192135836,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.791666667,0.256891496,0.235286535,0.369207773,0.30730563,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.833333333,0.188589709,0.237451117,0.509715994,0.4480563,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.875,0.160117302,0.232690041,0.373692078,0.600871314,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.916666667,0.171847508,0.234402622,0.206278027,0.702971403,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.958333333,0.226392962,0.240148055,0.297458894,0.799932976,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
1,0.217008797,0.216503388,0.104633782,0.802837355,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.041666667,0.168328446,0.21943135,0.713751868,0.734331737,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.083333333,0.182404692,0.222469799,0.564275037,0.580875782,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.164222874,0.216227166,0.489536622,0.423145666,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.231085044,0.205675457,0.389387145,0.260947274,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.208333333,0.309677419,0.210315999,0.311659193,0.163985702,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.25,0.295014663,0.214901297,0.326606876,0.157059875,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.291666667,0.271554252,0.226392163,0.177130045,0.219615728,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.333333333,0.258064516,0.235838981,1,0.332774799,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.375,0.237536657,0.23655716,0.338565022,0.476094727,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.416666667,0.218768328,0.231861373,0.257100149,0.585455764,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.458333333,0.252199413,0.243020772,0.401345291,0.673274413,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.5,0.255131965,0.252301856,0.171150972,0.731233244,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
