hour,wave_height,water_temp,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.708333333,0.317888563,0.273571008,0,1,4,0.090206186,0.366989832,0.054357996,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.01225596
0.75,0.346627566,0.275725545,0,1,4,0.090206186,0.366989832,0.054357996,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.01225596
0.791666667,0.346627566,0.258378757,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.833333333,0.301839509,0.261256495,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.875,0.255718475,0.263185032,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.916666667,0.224046921,0.261803919,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.958333333,0.255131965,0.257550088,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
1,0.255718475,0.257052888,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.041666667,0.248093842,0.228104744,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.083333333,0.240469209,0.216503388,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.125,0.262170088,0.219818061,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.166666667,0.28797654,0.208216706,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.208333333,0.293841642,0.230425015,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.25,0.309677419,0.225453005,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.291666667,0.312609971,0.234789334,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.333333333,0.310263929,0.244070419,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.375,0.258064516,0.256997643,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.416666667,0.215249267,0.265892015,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.458333333,0.201759531,0.26340601,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.5,0.203519062,0.272797584,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.541666667,0.188269795,0.261030495,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.583333333,0.210557185,0.240148055,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.625,0.228152493,0.236170448,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.666666667,0.28914956,0.231529906,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.708333333,0.301466275,0.266112994,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.75,0.279178886,0.291359753,0,1,4,0.090206186,0.366989832,0.054357996,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.01225596
0.791666667,0.270381232,0.289426193,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
